b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
187,209,131,154,5.741657386773941,5.422466567392307,-0.3191908193816335,43.13014318274299,554.6290839803319,28.16430784468183,True,survived,0.0,0.0,
187,211,131,159,1.0,1.0,0.0,14.6959911640463,560.2115596723614,29.70981848459616,True,survived,0.0,0.0,
188,198,128,138,1.0,1.0,0.0,60.85782297167604,544.1150303324241,27.36755674499387,True,survived,0.0,0.0,
188,203,128,147,1.0,1.0,0.0,54.327898197200376,547.8167957385011,26.76186174229157,True,survived,0.0,0.0,
191,199,125,134,1.0,1.0,0.0,65.01000781867245,546.3912794746537,28.237674565912748,True,survived,0.0,0.0,
192,193,133,135,1.0,1.0,0.0,86.91151653476675,535.3491998327984,28.35017570693472,True,survived,0.0,0.0,
192,197,133,148,2.863703305156273,2.449489742783178,-0.4142135623730949,72.30948053848807,544.4503992031105,27.43725352189364,True,survived,0.0,0.0,
190,214,152,155,1.0,18.098327826732003,17.098327826732003,11.279478302550764,564.4921575691396,31.29091257699814,True,separated,,,
195,200,141,143,1.0,1.0,0.0,87.07033059683157,554.4335604068259,25.94045295272489,True,survived,0.0,0.0,
192,203,133,147,4.155870949147037,3.47213595499958,-0.6837349941474566,62.39115883018368,551.0684578408118,23.84994269616667,True,survived,0.0,0.0,
192,213,133,158,1.0,1.0,0.0,36.28040927990946,561.9374630597054,25.964982937357547,True,survived,0.0,0.0,
193,208,135,153,1.0,1.0,0.0,60.0069718115253,555.827497854304,35.85601247066286,True,survived,0.0,0.0,
193,215,135,165,1.0,1.0,0.0,27.50507951442895,568.9094916112872,31.920368821088424,True,survived,0.0,0.0,
195,201,141,145,9.29832572579834,9.0,-0.2983257257983407,85.6752253496542,555.9054877365463,24.5730310318172,True,survived,0.0,0.0,
195,203,141,147,1.0,1.0,0.0,77.41240909160724,560.6905704439109,25.526071711452577,True,survived,0.0,0.0,
195,208,141,153,1.0,1.0,0.0,72.12776990637286,563.598855921556,30.855548440689205,True,survived,0.0,0.0,
195,216,141,164,2.863703305156273,2.146264369941973,-0.7174389352142998,46.4610004678194,579.4603358824626,28.86203340277639,True,survived,0.0,0.0,
195,219,141,169,6.071067811865476,5.572595368400839,-0.49847244346463704,42.29966020325034,581.5681367616814,30.16700125301581,True,survived,0.0,0.0,
196,200,137,143,1.0,1.0,0.0,85.7102217617361,553.490922823327,24.5730310318172,True,survived,0.0,0.0,
196,201,137,145,1.0,1.0,0.0,83.38186750391654,554.9628501530474,37.76278975530519,True,survived,0.0,0.0,
196,205,137,144,1.0,1.0,0.0,69.56325281993264,562.8638190568896,34.25797061064237,True,survived,0.0,0.0,
196,216,137,164,1.0,1.0,0.0,39.22874802550998,578.5176982989636,27.54724611757329,True,survived,0.0,0.0,
196,218,137,162,8.958217307690626,8.70820393249937,-0.25001337519125677,41.69460982607154,580.631358548248,25.35089071817938,True,survived,0.0,0.0,
197,211,148,159,1.0,1.0,0.0,56.03612327536594,574.537802032455,25.84210017033432,True,survived,0.0,0.0,
197,213,148,158,1.0,1.0,0.0,59.99003491798123,572.8894169658645,25.43237481489809,True,survived,0.0,0.0,
197,215,148,165,1.0,1.0,0.0,53.32137295235989,578.0106909815993,29.54328532705789,True,survived,0.0,0.0,
197,229,148,182,7.0,6.0,-1.0,3.7367933444943695,594.6502565471656,26.33019050649456,True,survived,0.0,0.0,
198,199,138,134,6.211102550927978,6.071067811865476,-0.14003473906250186,89.86227792408864,561.14114585893,28.71830278937461,True,survived,0.0,0.0,
198,200,138,143,1.0,1.0,0.0,85.80737393767963,558.6796949415102,27.19838553096727,True,survived,0.0,0.0,
198,202,138,166,1.0,42.757269816221,41.757269816221,87.60958952941601,562.7495971513273,30.560124444498616,True,separated,,,
198,203,138,147,4.123105625617661,3.16227766016838,-0.9608279654492806,84.48365172462009,564.9367049785951,22.404791686419177,True,survived,0.0,0.0,
198,217,138,163,1.0,1.0,0.0,49.61530707041516,585.2634776031211,27.88032894463078,True,survived,0.0,0.0,
200,203,143,147,1.0,1.0,0.0,79.68746002712781,562.3814603475873,23.200474511026496,True,survived,0.0,0.0,
200,216,143,164,1.0,1.0,0.0,44.13857560099296,581.151225786139,23.7362275550541,True,survived,0.0,0.0,
200,218,143,162,7.324233081729782,6.358898943540674,-0.9653341381891076,45.54428032779255,583.2648860354234,23.39176552443052,True,survived,0.0,0.0,
200,225,143,173,3.47213595499958,3.47213595499958,0.0,17.50349100070849,591.7107856879627,22.750206041591,True,survived,0.0,0.0,
201,216,145,164,2.6502815398728847,2.4641016151377544,-0.18617992473513034,49.76282108809064,582.6231531158594,26.123866405607867,True,survived,0.0,0.0,
201,224,145,172,1.0,1.0,0.0,27.604558091840595,590.9336819377427,31.98014484502094,True,survived,0.0,0.0,
199,218,134,162,1.0,1.0,0.0,46.9169104181192,585.7263369528432,28.928129749038145,True,survived,0.0,0.0,
205,218,144,162,2.4641016151377544,1.8284271247461903,-0.6356744903915641,60.80383956791832,592.637782268986,25.68147355921802,True,survived,0.0,0.0,
205,233,144,176,1.0,1.0,0.0,5.6327730586668645,610.2090656029955,28.96112135422744,True,survived,0.0,0.0,
203,225,147,173,3.685557720282968,3.1815405503520555,-0.5040171699309126,40.48516240510218,597.9677957250477,23.783117284086124,True,survived,0.0,0.0,
203,228,147,178,1.0,1.0,0.0,18.57748588359628,601.0415043648891,25.613212907107,True,survived,0.0,0.0,
202,226,166,170,1.0,1.0,0.0,14.112313414174874,599.4295118717416,27.01637594162904,True,survived,0.0,0.0,
203,213,147,158,7.79385036540706,6.69041575982343,-1.1034346055836304,74.02253585515469,579.5074756035658,0.9772050238058398,True,survived,0.0,0.0,
203,217,147,163,3.414213562373095,3.685557720282968,0.2713441579098732,58.03249314061553,588.9652430091983,24.534139372995096,True,survived,0.0,0.0,
203,219,147,169,8.38083151964686,8.126822193908446,-0.25400932573841395,59.685322614778,589.5160367024428,22.07560725659395,True,survived,0.0,0.0,
207,209,151,154,1.0,1.0,0.0,81.52369992200455,577.2485149975917,28.60724938505144,True,survived,0.0,0.0,
207,212,151,156,9.838393244542416,12.024484804808047,2.1860915602656306,77.51416910521284,581.1574240572636,22.673122109379246,True,separated,,,
