bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan
29,193061,2.932671116296594,35.85381010967487,40.17420918776967,38.18765053532303,37.03195881094576,35.29761733199076,1.04802048228536,0.03319791918936422,0.9151344171146737,True,True,1
30,177675,2.6989518369219954,34.874867928268486,37.60925847755734,36.639268327001545,38.587854228225694,34.4442808459344,1.0379737006907888,0.017173428734735232,0.979584775112324,True,True,1
31,177701,2.699346786958635,34.87656897857619,38.080573547700915,40.30921604267843,36.55969859483064,34.45258896705011,1.0373747522006962,0.022252002383459077,0.9632224203732223,True,True,1
32,178739,2.7151144076521767,34.944345033315656,37.67037971567481,39.771611120124874,36.75178892127627,34.85353430254348,1.007836870353126,0.038037133204788735,0.8951803911841156,True,True,1
33,175885,2.6717610459379495,34.75735592905641,36.16769480057992,36.56969610825255,36.16582994570316,34.29768168986213,1.040748748975663,0.027338245896984827,0.9254680807218794,True,True,1
34,177396,2.69471371922113,34.856603896381756,37.525147128458364,34.211515479492206,39.88721278946538,34.3919188785513,1.0410845236495552,0.029557850783354055,0.9452799165319623,True,True,1
35,187269,2.844688400442072,35.49161490958574,40.28872370760777,43.283720209965345,35.55658971853323,35.22174480295136,1.0231626634956716,0.03473049463558255,0.913883880560982,True,True,1
36,193235,2.935314243464876,35.864578191072304,37.82031723031542,37.97055916371258,43.0776826144332,35.43556249645476,1.036762282255262,0.028634983707658095,0.9379829434590157,True,True,1
37,178054,2.704708993225321,34.8996476063209,37.03827490536579,39.52662675368147,36.64133914430454,34.49472913323332,1.0356306811410338,0.021425747376459248,0.9459907265888575,True,True,1
38,159602,2.4244159902992783,33.64985831892786,40.09182842320271,38.26185762083182,36.151395345922985,33.245667860866135,1.0369182892321007,0.026534952569212185,0.9547170591693327,True,True,1
39,207799,3.1565470255272476,36.74387440854273,38.695576013359066,42.08363370372331,37.98677086992719,36.2764869797404,1.0391522303925262,0.04312269926521533,0.868449208805912,True,True,1
40,182828,2.7772278961067935,35.20881158088021,37.500317238059814,38.618138359551054,42.44484433456582,34.65330824881111,1.0488659670498925,0.04013174572842191,0.9019841983566665,True,True,1
41,194012,2.947117173405995,35.91258452118788,38.74404675999423,44.08552048326908,37.619673009916916,35.64870109974902,1.022371776669078,0.044154025110945946,0.8641574512827186,True,True,1
42,159381,2.4210589149878405,33.634319554140184,37.472044973993135,38.55836015585296,35.424084426625505,33.32613500881115,1.0279999415267658,0.0306665489074712,0.9320963655539155,True,True,1
