b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
92,120,92,129,1.0,1.414213562373095,0.4142135623730949,3.615922239825687,636.7667210790808,27.69130758589691,True,survived,0.0,0.0505434782608695,
94,108,85,97,3.2426406871192857,25.2291018906162,21.986461203496916,62.14624404527242,619.6346217420629,24.4821877225888,True,separated,,,
94,116,85,126,1.0,55.517555249131924,54.517555249131924,36.01372707153249,630.6661767217529,24.54711010579281,True,separated,,,
98,99,113,104,1.0,32.26658708275282,31.26658708275282,85.0158989581291,611.0880468448022,31.132838024016426,True,separated,,,
99,100,104,122,1.0,33.54259396718111,32.54259396718111,84.3336794591664,617.5429023778443,28.18125557934844,True,separated,,,
106,120,130,129,1.0,3.685557720282968,2.685557720282968,56.61523845117581,652.0147265802508,26.85684646589152,True,survived,0.1351598173515981,0.3828125,0.39564392373896
106,125,130,132,6.5630027024141775,60.6200388411269,54.05703613871272,52.706099765937466,656.0893704831778,26.117773375459542,True,separated,,,
106,132,130,154,1.0,1.0,0.0,4.673066298012631,667.6473353820254,31.301083522359217,True,survived,0.1825148032044583,0.2470845481049562,0.4068781988545112
105,111,105,128,1.0,21.679761188023342,20.679761188023342,77.02860978102471,634.6411996231946,30.502783435536177,True,separated,,,
105,122,105,119,1.0,1.0,0.0,53.01764998615248,648.6051828149227,26.3965971453958,True,survived,0.0,0.0,
105,128,105,134,1.0,1.0,0.0,11.14877211396897,659.8955827911302,33.70058862844632,True,survived,0.0,0.0231980115990058,
108,116,97,126,1.0,26.306518872501826,25.306518872501826,71.3208299383588,648.0474858482828,26.66056968349335,True,separated,,,
108,135,97,152,1.0,65.05853223943632,64.05853223943632,25.227552159741755,669.3235851526829,28.96661630188228,True,separated,,,
110,133,115,133,1.0,1.0,0.0,32.288905108886595,668.8449236720888,33.4636247228924,True,survived,0.0,0.1174777603349031,
110,134,115,140,1.0,1.0,0.0,31.41861124215292,670.1779021126459,27.77165559024749,True,survived,0.0,0.0159407274360125,
111,122,128,119,7.0670198723450905,53.43245053906434,46.36543066671925,69.51295161800037,656.9496955968358,24.207612448656697,True,separated,,,
111,137,128,162,1.0,36.010983042908336,35.010983042908336,35.97714065370451,674.7481056920327,27.110468959395977,True,separated,,,
115,116,136,126,1.0,23.39121913913575,22.39121913913575,86.8203499829685,657.1748851107752,29.688382826333207,True,separated,,,
115,143,136,141,4.773112505913769,4.766114533138578,-0.006997972775191208,30.19618762468933,687.4142476661699,28.209479177387816,True,survived,0.0,0.0,
116,136,126,137,1.0,1.0,0.0,51.06429130595344,681.4396577014977,29.18011215779748,True,survived,0.0,0.0,
120,125,129,132,1.414213562373095,3.47213595499958,2.057922392626485,83.71086047381466,674.8318574279228,26.02009085135797,True,survived,0.0,0.0,
120,132,129,154,1.0,1.0,0.0,63.16609384096339,686.3898223267704,27.685559519911603,True,survived,0.008741923223109,0.0527189705271897,0.3874258867227931
120,144,129,158,1.0,1.0,0.0,42.59072436192514,695.7203558006748,37.842782375783024,True,survived,0.0,0.0,
122,128,119,134,1.0,8.281885242839627,7.281885242839627,71.5879463392612,682.2040787647715,25.451141789397465,True,survived,0.0,0.0,
122,149,119,148,1.0,20.793638876612206,19.793638876612206,35.40455354001923,701.9553061470256,23.85661494212072,True,separated,,,
122,150,119,150,4.242640687119285,1.0,-3.2426406871192848,22.755432450430703,704.5547744750085,27.028155482603687,True,survived,0.0,0.0,
