bond_id;labelA;labelB;cx_A;cy_A;cz_A;cx_B;cy_B;cz_B;dist_vox;dist_um
400;114;137;277.07;330.59;376.63;302.05;310.80;440.79;71.644;1774.3
401;115;122;168.35;369.42;376.14;209.89;417.90;401.40;68.662;1700.5
402;115;132;168.35;369.42;376.14;226.64;346.99;421.24;77.048;1908.2
403;115;135;168.35;369.42;376.14;160.70;363.57;445.53;70.057;1735.0
404;116;119;451.64;378.21;378.20;400.18;426.03;381.53;70.327;1741.7
405;116;138;451.64;378.21;378.20;448.91;376.82;452.14;74.002;1832.7
406;117;125;207.79;152.36;377.68;167.29;200.81;410.93;71.363;1767.4
407;118;127;342.98;114.31;384.60;344.64;180.37;411.54;71.364;1767.4
408;118;134;342.98;114.31;384.60;389.85;136.03;442.75;77.787;1926.5
409;118;140;342.98;114.31;384.60;294.74;116.39;446.45;78.463;1943.2
410;119;129;400.18;426.03;381.53;342.95;449.34;415.02;70.284;1740.6
411;119;131;400.18;426.03;381.53;356.64;379.84;417.89;73.152;1811.7
412;119;139;400.18;426.03;381.53;396.96;427.26;449.74;68.301;1691.5
413;120;127;317.39;242.69;395.06;344.64;180.37;411.54;69.985;1733.3
414;120;133;317.39;242.69;395.06;278.01;183.60;428.02;78.295;1939.0
415;120;136;317.39;242.69;395.06;371.30;257.45;438.50;70.791;1753.2
416;120;145;317.39;242.69;395.06;309.06;241.67;464.51;69.959;1732.6
417;121;124;357.99;312.46;394.76;423.82;290.43;408.89;70.842;1754.5
418;121;131;357.99;312.46;394.76;356.64;379.84;417.89;71.246;1764.5
419;121;136;357.99;312.46;394.76;371.30;257.45;438.50;71.532;1771.6
420;121;137;357.99;312.46;394.76;302.05;310.80;440.79;72.459;1794.5
421;121;143;357.99;312.46;394.76;392.35;331.56;453.26;70.479;1745.5
422;122;126;209.89;417.90;401.40;280.12;416.26;410.15;70.785;1753.1
423;122;132;209.89;417.90;401.40;226.64;346.99;421.24;75.515;1870.2
424;122;146;209.89;417.90;401.40;234.97;432.70;466.13;70.981;1757.9
425;123;125;143.01;276.21;404.00;167.29;200.81;410.93;79.516;1969.3
426;123;144;143.01;276.21;404.00;185.80;297.45;456.93;71.296;1765.7
427;123;147;143.01;276.21;404.00;144.96;241.59;465.58;70.673;1750.3
428;124;136;423.82;290.43;408.89;371.30;257.45;438.50;68.716;1701.8
429;124;141;423.82;290.43;408.89;476.70;262.64;447.86;71.326;1766.4
430;124;143;423.82;290.43;408.89;392.35;331.56;453.26;68.188;1688.7
431;125;142;167.29;200.81;410.93;220.85;220.57;452.52;70.632;1749.3
432;125;147;167.29;200.81;410.93;144.96;241.59;465.58;71.747;1776.9
433;126;129;280.12;416.26;410.15;342.95;449.34;415.02;71.178;1762.8
434;126;146;280.12;416.26;410.15;234.97;432.70;466.13;73.775;1827.1
435;126;148;280.12;416.26;410.15;274.71;371.06;467.49;73.214;1813.2
436;126;150;280.12;416.26;410.15;303.32;451.59;472.59;75.402;1867.4
437;127;133;344.64;180.37;411.54;278.01;183.60;428.02;68.717;1701.9
438;127;134;344.64;180.37;411.54;389.85;136.03;442.75;70.603;1748.5
439;127;149;344.64;180.37;411.54;364.25;197.78;477.98;71.425;1768.9
440;128;141;457.55;203.69;414.35;476.70;262.64;447.86;70.452;1744.8
441;128;151;457.55;203.69;414.35;448.25;189.71;483.47;71.122;1761.4
442;129;131;342.95;449.34;415.02;356.64;379.84;417.89;70.900;1755.9
443;129;139;342.95;449.34;415.02;396.96;427.26;449.74;67.896;1681.5
444;129;150;342.95;449.34;415.02;303.32;451.59;472.59;69.928;1731.8
445;130;132;244.10;276.88;416.59;226.64;346.99;421.24;72.395;1792.9
446;130;137;244.10;276.88;416.59;302.05;310.80;440.79;71.373;1767.6
447;130;142;244.10;276.88;416.59;220.85;220.57;452.52;70.726;1751.6
448;130;144;244.10;276.88;416.59;185.80;297.45;456.93;73.825;1828.4
449;130;153;244.10;276.88;416.59;251.88;269.79;488.38;72.555;1796.9
450;131;139;356.64;379.84;417.89;396.96;427.26;449.74;69.925;1731.8
451;131;143;356.64;379.84;417.89;392.35;331.56;453.26;69.692;1726.0
452;131;152;356.64;379.84;417.89;341.55;384.83;488.43;72.304;1790.7
453;132;135;226.64;346.99;421.24;160.70;363.57;445.53;72.201;1788.1
454;132;144;226.64;346.99;421.24;185.80;297.45;456.93;73.460;1819.3
455;132;148;226.64;346.99;421.24;274.71;371.06;467.49;70.912;1756.2
456;133;140;278.01;183.60;428.02;294.74;116.39;446.45;71.663;1774.8
457;133;142;278.01;183.60;428.02;220.85;220.57;452.52;72.347;1791.7
458;133;145;278.01;183.60;428.02;309.06;241.67;464.51;75.283;1864.5
459;133;158;278.01;183.60;428.02;296.37;181.36;499.34;73.682;1824.8
460;134;149;389.85;136.03;442.75;364.25;197.78;477.98;75.562;1871.4
461;134;162;389.85;136.03;442.75;401.46;145.84;514.93;73.758;1826.7
462;135;144;160.70;363.57;445.53;185.80;297.45;456.93;71.635;1774.1
463;135;160;160.70;363.57;445.53;180.36;394.56;505.21;70.065;1735.2
464;136;143;371.30;257.45;438.50;392.35;331.56;453.26;78.440;1942.6
465;136;145;371.30;257.45;438.50;309.06;241.67;464.51;69.286;1715.9
466;136;149;371.30;257.45;438.50;364.25;197.78;477.98;71.895;1780.6
467;136;156;371.30;257.45;438.50;414.03;277.19;490.47;70.109;1736.3
