bond_id;labelA;labelB;d1_vox;d2_vox;strain;broken;nx_A;ny_A;nz_A;nx_B;ny_B;nz_B;normal_dz
767;221;235;76.129;76.946;0.010731;1;284.68;167.75;664.57;323.58;118.17;708.02;0.568
768;222;231;76.566;68.855;-0.100710;1;215.54;432.21;675.34;279.16;398.46;697.87;0.299
769;222;245;68.309;2.416;-0.964635;1;215.54;432.21;675.34;195.10;425.00;739.79;0.948
770;223;228;69.257;168.062;1.426654;1;418.87;167.58;681.07;352.07;179.55;692.58;0.167
771;223;241;79.036;69.882;-0.115819;1;418.87;167.58;681.07;452.47;227.39;720.58;0.499
772;223;249;72.656;98.673;0.358074;1;418.87;167.58;681.07;416.90;170.42;753.58;0.999
773;224;233;76.711;69.468;-0.094428;1;263.88;286.01;683.46;297.31;220.88;706.06;0.295
774;224;234;82.519;116.404;0.410622;1;263.88;286.01;683.46;210.83;341.61;713.85;0.368
775;224;242;73.576;84.148;0.143688;1;263.88;286.01;683.46;285.07;336.59;732.13;0.664
776;224;252;71.195;0.785;-0.988971;1;263.88;286.01;683.46;248.48;276.94;751.83;0.967
777;225;230;73.389;71.776;-0.021983;1;226.98;131.07;682.72;227.81;202.55;699.01;0.222
778;225;251;75.132;70.073;-0.067335;1;226.98;131.07;682.72;201.05;144.54;752.16;0.922
779;226;227;72.125;77.050;0.068275;1;461.64;315.95;689.92;402.58;274.78;696.27;0.088
780;226;255;72.703;5.150;-0.929164;0;461.64;315.95;689.92;457.74;320.74;761.81;0.996
781;227;237;70.551;73.577;0.042901;1;402.58;274.78;696.27;337.60;298.42;709.28;0.185
782;227;241;73.009;134.629;0.843998;1;402.58;274.78;696.27;452.47;227.39;720.58;0.333
783;227;243;68.965;141.498;1.051748;1;402.58;274.78;696.27;392.94;331.71;734.78;0.555
784;227;248;74.240;116.029;0.562885;1;402.58;274.78;696.27;375.82;225.31;745.08;0.655
785;228;233;69.482;79.253;0.140620;1;352.07;179.55;692.58;297.31;220.88;706.06;0.193
786;228;235;68.859;76.043;0.104335;1;352.07;179.55;692.58;323.58;118.17;708.02;0.222
