bead_id,voxels,volume_mm3,r_eq_vox,cz,cy,cx,r_fit_vox,fill,roughness,sphericity,radius_ok,shape_ok,scan,on_boundary
43,204597,3.1079074094764567,36.55416636174651,38.26939788950962,38.62361129439826,36.9642907765021,36.13714712961948,1.0350207589040656,0.0159315804542794,0.9803591937444366,True,True,1,True
44,206477,3.1364653352027174,36.66578808715585,38.55399390731171,39.60635324999879,38.68066176862314,36.24568786564728,1.035175616757298,0.0141047583999416,0.9883708900145728,True,True,1,True
45,204126,3.1007527376588677,36.52609452464983,38.64317137454317,37.5050605998256,38.87020761686409,36.093800392691705,1.0363629517082928,0.0154688200013627,0.9844326008805016,True,True,1,True
46,210516,3.197819304356104,36.90332517531369,39.88123943073211,38.98552129054324,38.90759372209238,36.47918224222823,1.0352880895406291,0.0136034013569029,0.9921581791936652,True,True,1,False
47,211624,3.214650252071368,36.96795582424679,39.69633878955128,39.65958492420519,37.91643669905115,36.54833273353208,1.0348409345221463,0.018463992011534,0.9679368796658144,True,True,1,True
48,215034,3.266449468415277,37.16545962622503,39.4858813024917,39.06747770120074,39.40165276188882,36.73551724546857,1.0355237087756717,0.0171118044589643,0.981820362412238,True,True,1,False
49,209376,3.1805022642880525,36.83659080249594,38.30876509246523,39.1778570609812,39.44663189668348,36.43182504576545,1.033702356307664,0.0142331524300856,0.9888375450340284,True,True,1,True
50,208496,3.1671347245863983,36.78491069754183,38.88622323689663,38.82465371038293,39.42051646074745,36.36080802657538,1.035400906546349,0.0146766077435631,0.9918692186460644,True,True,1,False
51,213525,3.2435271759041457,37.07831933048345,34.18168364360145,38.83758810443742,40.48558716777895,36.769799246364144,1.025383547987828,0.0245428508213015,0.9601797822604904,True,True,1,True
52,199528,3.0309073427177258,36.24975536332333,38.89004049556954,38.50989836012991,39.24531394090052,35.80971508473881,1.0373197416264364,0.0150534699401662,0.9783836751745494,True,True,1,True
53,231215,3.512245104679438,38.07522385530623,44.2978137231581,49.45812771662738,46.42647319594317,41.82535695379416,0.7544117219888322,0.2732261016224778,0.6710941895054185,True,False,1,True
54,212581,3.2291874514969168,37.02359717925622,38.686387776894456,40.87128200544733,39.95837821818507,36.60360056671829,1.0348190471504402,0.0170017573905398,0.9838415572788664,True,True,1,True
55,204938,3.113087331110848,36.57446325767553,38.33952219695713,39.61430774185364,39.387263465047965,36.135075983103874,1.0369240978375294,0.0148690549786191,0.9870797363292666,True,True,1,False
56,197723,3.0034886959433105,36.140114762562334,38.32374584646197,39.00764706179858,38.23213283229568,35.70086738168693,1.0373666422677223,0.0163052333340444,0.985156025873512,True,True,1,True
57,219777,3.3384974693299867,37.43672740985917,40.375926507323335,41.22423183499638,41.3208889010224,36.98092260341275,1.0374338307620985,0.0171701259848767,0.9819624157387348,True,True,1,False
58,198170,3.010278798496309,36.16732871468511,38.64895796538325,37.89370237674724,38.363147802391886,35.75015957554392,1.035417130865275,0.012931740753598,0.9911152923363814,True,True,1,True
59,197945,3.0068609616407733,36.15363553760913,38.32580767384879,38.33677536689484,38.332991487534414,35.73441646044469,1.035609065069328,0.0142789362938387,0.984959722765,True,True,1,True
60,203079,3.084848403491104,36.46353774965553,39.04621846670508,38.851323869036186,38.36010124138882,36.03140624538042,1.0364128051523451,0.0178902055656154,0.9671846887952352,True,True,1,True
