bead_a,bead_b,r_a_vox,r_b_vox,gap_vox,gap_um,z_mid,axis_dip_deg,lens_vox,lens_mm3,binder_vox,pore_vox,crack_vox,binder_frac,pore_frac,crack_frac,connected,bond_area_vox,r_bond_vox,r_bond_over_R,q_crack_med,q_binder_med,q_pore_med
1,207,38.469045005996286,36.41193290667461,2.0,49.5320458,801.9911688419559,71.64293225171012,3839,0.05831589194846512,3825,14,0,0.9963532169835895,0.0036467830164105238,0.0,True,6.0,1.381976597885342,0.03691128605443847,,0.30484544052339907,0.40209568597003575
1,283,38.469045005996286,35.09320605055566,2.732050807568877,67.66203286421431,812.3951470737627,87.87659221472693,4738,0.07197204898458655,4570,168,0,0.964542000844238,0.03545799915576193,0.0,True,22.0,2.6462837142006137,0.07194678455846187,,0.28172904669025317,0.4
1,300,38.469045005996286,37.253225358335015,7.483314773547883,185.33194504959516,812.209187852698,87.8541302233598,7063,0.10728969649179712,6356,707,0,0.8999008919722498,0.10009910802775025,0.0,True,24.0,2.763953195770684,0.07300238575711364,,0.2588283628687876,0.34551100855020994
2,11,38.24708080178451,37.36202648420899,5.855156433186538,145.00893830738013,326.36182164915914,51.17705820747014,6464,0.0981906552630577,6328,136,0,0.9789603960396039,0.02103960396039604,0.0,True,1.0,0.5641895835477563,0.014923852530454931,,0.26968623182294527,0.380576497183166
2,330,38.24708080178451,33.601507417777036,2.0,49.5320458,375.0687041065679,51.386144450189256,3315,0.05035612967157121,3300,15,0,0.995475113122172,0.004524886877828055,0.0,True,11.0,1.8712051592547776,0.052087457961917806,,0.3090169943749474,0.4142135623730951
3,79,38.25251996121985,36.17663415581315,2.0,49.5320458,924.476043854421,47.923035862608316,3866,0.0587260323711295,3738,128,0,0.966890843248836,0.03310915675116399,0.0,True,4.0,1.1283791670955126,0.030320891873129183,,0.2989350844248255,0.39564392373895996
3,98,38.25251996121985,35.89116126961165,7.348469228349534,181.99235718924987,937.8262297505664,73.22419923209976,6199,0.09416520296653694,5026,1173,0,0.8107759316018712,0.18922406839812872,0.0,True,33.0,3.2410224072142872,0.08742545159375113,,0.25,0.32549696263601924
3,126,38.25251996121985,35.86612479803742,2.0,49.5320458,952.2728029320684,86.10761722205868,3472,0.052741020277434464,3425,47,0,0.986463133640553,0.013536866359447005,0.0,True,18.0,2.393653682408596,0.06458978547660596,,0.30484544052339907,0.42480768092719207
3,277,38.25251996121985,35.38967537586831,3.1462643699419726,77.92045543543696,946.343115829619,85.02373418305137,4079,0.061961584594370726,3914,165,0,0.9595489090463349,0.040451090953665114,0.0,True,1.0,0.5641895835477563,0.0153224542251965,,0.2791745113185196,0.375
4,28,37.827481835382166,36.73485416444828,2.0,49.5320458,333.27636940101877,88.07587090525445,3586,0.054472724284239625,3586,0,0,1.0,0.0,0.0,True,3.0,0.9772050238058398,0.02621175988391946,,0.3090169943749474,
4,69,37.827481835382166,36.1389571090498,4.0,99.0640916,372.6902815362254,11.454791027713329,4657,0.0707416277165934,4641,16,0,0.9965643117887052,0.003435688211294825,0.0,True,5.0,1.2615662610100802,0.03411185610700671,,0.2791745113185196,0.3090169943749474
4,196,37.827481835382166,35.18118693952102,7.713293552551451,191.0276047569116,299.97093030500014,31.321555333418797,6683,0.10151734980244657,6585,98,0,0.9853359269789017,0.014664073021098309,0.0,True,6.0,1.381976597885342,0.037857876909006126,,0.2674788903885893,0.40344966783958736
5,162,37.599093974957185,36.24733283428811,2.0,49.5320458,295.7758219771939,87.55936321265713,3508,0.0532878741743203,3480,28,0,0.992018244013683,0.00798175598631699,0.0,True,2.0,0.7978845608028654,0.021609293645687224,,0.3090169943749474,0.4295775099874811
5,325,37.599093974957185,33.37415112376185,2.0,49.5320458,330.99330954880475,24.26106493382474,2724,0.04137861153102865,2717,7,0,0.9974302496328928,0.0025697503671071953,0.0,True,6.0,1.381976597885342,0.038943593348820534,,0.30484544052339907,0.4142135623730951
5,328,37.599093974957185,37.30950611713614,9.306623862918075,230.4880597107155,257.9620260360233,22.10521292756991,8585,0.1304094640212485,7725,860,0,0.8998252766453116,0.10017472335468841,0.0,True,3.0,0.9772050238058398,0.02609059634286197,,0.25355482027512377,0.36415492310005443
6,104,37.823588534101106,35.82779150528109,2.0,49.5320458,552.2080610193611,81.2841142776843,3509,0.05330306456034491,3448,61,0,0.9826161299515531,0.01738387004844685,0.0,True,8.0,1.5957691216057308,0.04333304062333811,,0.3090169943749474,0.38742588672279316
5,18,37.599093974957185,36.97453452940727,4.685557720282968,116.04262979979977,328.9874012193752,37.50381201539684,4976,0.07558736085844293,4801,175,0,0.9648311897106109,0.03516881028938907,0.0,True,36.0,3.385137501286538,0.09078645009444382,,0.27429188517743175,0.3550392228080413
5,37,37.599093974957185,36.531342646769914,2.0,49.5320458,282.88912002142604,66.90998248484269,3420,0.05195112020415491,3293,127,0,0.9628654970760234,0.03713450292397661,0.0,True,1.0,0.5641895835477563,0.015221536773800583,,0.30216947925196225,0.4142135623730951
