b1_a,b1_b,b3_a,b3_b,gap1_vox,gap3_vox,opening_vox,axis_dip_deg,z_mid,r_bond1_vox,connected1,outcome,crack_frac3,neck_severed3,q_crack3
25,217,22,220,1.0,1.7320508075688772,0.7320508075688772,72.7756540243667,1071.4846719635093,23.06976657227589,True,survived,0.0,0.0,
25,219,22,170,9.198039027185567,8.38083151964686,-0.8172075075387077,74.36569873007257,1049.0501557646546,16.88803298257901,True,survived,0.0,0.0,
25,275,22,251,1.0,1.0,0.0,13.228966525722477,1095.569072968052,24.18129981865374,True,survived,0.0,0.3453496755587599,
25,284,22,233,1.414213562373095,1.414213562373095,0.0,54.0410006694529,1038.3607777383795,26.986904594423443,True,survived,0.0,0.2393634296849626,
25,158,22,134,3.3166247903554,3.47213595499958,0.15551116464418024,61.22197496405295,1041.467502787469,23.24159798408648,True,survived,0.0,0.0,
25,161,22,147,1.0,1.8284271247461903,0.8284271247461903,46.72220554366755,1034.3476457570732,25.26284468935556,True,survived,0.0,0.0,
25,167,22,136,3.898979485566356,3.1815405503520555,-0.7174389352143007,45.2910344273515,1087.3040915283532,23.87662049275753,True,survived,0.0,0.058231868713605,
25,169,22,173,1.0,1.0,0.0,78.23099785710554,1067.7250988118017,25.41985580118611,True,survived,0.0,0.2301083302203959,
26,36,17,39,1.414213562373095,1.414213562373095,0.0,63.63449450861017,1079.1510301245055,25.903614421069328,True,survived,0.0,0.0,
26,157,17,157,10.0,9.055385138137416,-0.9446148618625845,86.7555807223118,1064.2632232940225,22.061183467235296,True,survived,0.0,0.2048,
26,160,17,117,7.694323451653613,6.817337799805944,-0.8769856518476686,47.88583481751349,1090.1679781156831,23.56800270262024,True,survived,0.0,0.0,
26,167,17,136,2.146264369941973,2.449489742783178,0.3032253728412049,46.76505161622285,1088.0675916873518,27.817464537818594,True,survived,0.0,0.0440677966101694,
26,296,17,266,1.0,1.0,0.0,82.64190337641416,1057.2487501923092,27.14566975625165,True,survived,0.0,0.0,
27,47,36,44,1.0,1.0,0.0,86.73029583223827,702.575509738215,28.20383671724989,True,survived,0.0129904559915164,0.219105803943349,0.3816524151396708
27,64,36,52,1.0,1.0,0.0,6.968997205417014,663.6647502064559,22.204999745523345,True,survived,0.0432208407341622,0.3003347680535629,0.4013498739246386
27,67,36,63,1.0,1.0,0.0,65.00933354610682,684.7733863313617,22.44737289370274,True,survived,0.0568748167692758,0.3748478701825558,0.4041849114726528
26,204,17,168,1.8284271247461903,2.146264369941973,0.3178372451957827,33.64543614023298,1093.5513602545125,28.17560746714033,True,survived,0.0,0.1504149377593361,
26,219,17,170,1.0,1.0,0.0,70.78085281834414,1049.8136559236532,29.64546501159066,True,survived,0.0,0.0,
26,244,17,130,1.0,1.0,0.0,79.19355583022067,1054.9334125507994,26.88646037550106,True,survived,0.0,0.0,
26,272,17,252,1.0,1.0,0.0,23.70686347855022,1028.415606702315,30.09304946649449,True,survived,0.0,0.0,
16,281,21,210,1.0,1.0,0.0,85.0489593503331,1157.5708573829452,32.03980934622934,True,survived,0.0,0.0,
17,105,19,70,1.0,1.8284271247461903,0.8284271247461903,68.7328849688136,727.8589827295295,31.214524849957005,True,survived,0.0,0.0826747720364741,
27,86,36,74,1.0,1.0,0.0,61.09837103703471,682.6682855792989,29.56482618688446,True,survived,0.084692417739628,0.1340475568330285,0.4007458120453971
27,156,36,135,1.0,1.0,0.0,74.95510600077634,709.97354826845,30.130048048354837,True,survived,0.0,0.1001217285453438,
27,226,36,196,1.0,1.0,0.0,67.43612524760906,686.1851817199208,18.1420071192258,True,survived,0.050531914893617,0.5721836802114305,0.4142135623730951
